Tabela Hash — 2222 entradas / 3467 slots
Fator de carga: 64.09%

Índice   Status     ID     Ocorrências  Chave                Original
--------------------------------------------------------------------------------
0        vazio      —      —            —                    —
1        ocupado    582    6            incompetencia        incompetência
2        ocupado    809    1            vier                 vier
3        ocupado    1917   1            decreto              decreto
4        vazio      —      —            —                    —
5        vazio      —      —            —                    —
6        ocupado    1453   1            abismo               abismo
7        ocupado    1831   1            precisavar           precisávamos
8        ocupado    975    1            constroi             constrói
9        ocupado    1303   2            negociar             negociar
10       ocupado    2081   1            trilionario          trilionário
11       vazio      —      —            —                    —
12       ocupado    1675   1            humilhar             humilhado
13       ocupado    1735   1            ines                 Inês
14       vazio      —      —            —                    —
15       vazio      —      —            —                    —
16       ocupado    1256   4            sociedade            sociedade
17       ocupado    1669   1            adivinher            adivinhe
18       ocupado    532    1            esquemao             esquemão
19       ocupado    22     26           ficar                fica
20       vazio      —      —            —                    —
21       vazio      —      —            —                    —
22       vazio      —      —            —                    —
23       vazio      —      —            —                    —
24       ocupado    1981   1            refeicao             refeição
25       ocupado    167    1            constar              constar
26       ocupado    432    7            combater             combater
27       ocupado    718    1            rapido               rápida
28       ocupado    121    52           falar                falar
29       ocupado    842    1            tanto                tantos
30       vazio      —      —            —                    —
31       ocupado    2159   1            caminhada            caminhada
32       ocupado    1211   5            reimont              Reimont
33       ocupado    1737   1            enfrentar            enfrentam
34       vazio      —      —            —                    —
35       vazio      —      —            —                    —
36       vazio      —      —            —                    —
37       vazio      —      —            —                    —
38       ocupado    1216   2            digam                Digam
39       ocupado    183    1            tecnicos             Técnicos
40       ocupado    2147   1            reuniao              reunião
41       ocupado    873    1            arranjar             arranjar
42       vazio      —      —            —                    —
43       vazio      —      —            —                    —
44       ocupado    1398   1            indole               índole
45       vazio      —      —            —                    —
46       ocupado    816    1            cheio                cheio
47       ocupado    1511   1            intercambio          intercâmbio
48       vazio      —      —            —                    —
49       vazio      —      —            —                    —
50       ocupado    1241   6            emprego              emprego
51       ocupado    991    1            necessitar           necessitarem
52       ocupado    1490   3            aprovamos            aprovamos
53       ocupado    188    3            samba                samba
54       vazio      —      —            —                    —
55       vazio      —      —            —                    —
56       vazio      —      —            —                    —
57       ocupado    2216   1            investigacao         investigação
58       ocupado    73     18           congresso            Congresso
59       ocupado    2047   1            construcao           construção
60       ocupado    2221   1            regimental           regimentais
61       ocupado    1635   1            tutelar              tutelar
62       ocupado    112    2            caput                caput
63       ocupado    2183   1            resposta             resposta
64       vazio      —      —            —                    —
65       vazio      —      —            —                    —
66       ocupado    9      7            sessao               sessão
67       ocupado    1377   1            andarai              Andaraí
68       vazio      —      —            —                    —
69       ocupado    1799   1            remediar             remediar
70       vazio      —      —            —                    —
71       vazio      —      —            —                    —
72       ocupado    961    8            ver                  vendo
73       ocupado    1645   1            mesada               mesada
74       ocupado    1119   3            seguir               seguiu
75       vazio      —      —            —                    —
76       ocupado    578    5            botar                botaram
77       vazio      —      —            —                    —
78       ocupado    2028   1            cognitivo            cognitiva
79       ocupado    1671   1            canalhice            canalhice
80       vazio      —      —            —                    —
81       vazio      —      —            —                    —
82       vazio      —      —            —                    —
83       ocupado    361    3            tamanho              tamanho
84       vazio      —      —            —                    —
85       vazio      —      —            —                    —
86       vazio      —      —            —                    —
87       ocupado    633    4            fato                 fato
88       vazio      —      —            —                    —
89       ocupado    559    6            cozinha              cozinha
90       ocupado    1185   1            rodovia              rodovia
91       ocupado    736    5            rural                rural
92       vazio      —      —            —                    —
93       ocupado    1764   1            empenho              empenho
94       ocupado    441    4            semana               semana
95       ocupado    1316   2            monstro              monstro
96       ocupado    2062   2            agradeco             Agradeço
97       ocupado    260    12           janeiro              Janeiro
98       ocupado    1545   1            icaro                Icaro
99       ocupado    323    1            c                    c
100      ocupado    1161   2            mentiroso            mentiroso
101      ocupado    1954   1            limite               limite
102      ocupado    1689   4            aproveitar           aproveitar
103      ocupado    2188   1            doar                 doam
104      ocupado    1371   1            defer                defendo
105      ocupado    935    1            carregar             carregar
106      ocupado    1955   2            sinalizar            sinaliza
